Date,ADYEN.AS,AD.AS,AI.PA,AIR.PA,ALV.DE,ABI.BR,ASML.AS,CS.PA,BAS.DE,BAYN.DE,BBVA.MC,SAN.MC,BMW.DE,BNP.PA,BN.PA,DB1.DE,DHL.DE,DTE.DE,ENEL.MI,ENI.MI,EL.PA,RACE.MI,FLTR.L,RMS.PA,IBE.MC,ITX.MC,IFX.DE,INGA.AS,ISP.MI,KER.PA,OR.PA,MC.PA,MBG.DE,MUV2.DE,NOKIA.HE,NDA-FI.HE,RI.PA,PRX.AS,SAF.PA,SGO.PA,SAN.PA,SAP.DE,SU.PA,SIE.DE,STLAM.MI,TTE.PA,DG.PA,UCG.MI,VOW.DE
2023-03-15 00:00:00+01:00,0.26200121765772155,0.6681052451671685,0.7506498735175673,0.5806918677554568,0.7974679057974696,0.8320685931668242,0.4097145342297625,0.7492669601347661,0.5001061385322292,0.5329588287831027,0.48998797614526846,0.44221195788673445,0.6528386103426326,0.5692963980064936,0.8793223686832061,0.8537858704144852,0.5213411859720138,1.0230895187453868,0.6960082696899224,0.590227936194926,0.5943021529664669,0.6250991243315521,0.4313815491135632,0.5620061361474984,1.062378656955354,0.6463102136908423,0.4066931984259042,0.5308006385920168,0.583926869212139,0.48265163433132247,0.6123481659952352,0.579129389807236,0.5366787518975139,0.7372964238397028,0.5623610319623331,0.7661199380939131,0.7197566612761177,0.3464077317806881,0.7154291554989035,0.5017000339341688,0.7550670993035111,0.6587049468050951,0.556676004537405,0.521697960466201,0.5259285325651761,0.6087855167157783,0.8404519908139307,0.4069184204621064,0.4199663850908584
2023-03-16 00:00:00+01:00,0.2652591559593554,0.6782967904101735,0.7343141807563176,0.5254739357574542,0.7974679057974696,0.7748821168363224,0.4097145342297625,0.5947183797004779,0.5001061385322292,0.5329588287831027,0.48998797614526846,0.44221195788673445,0.6528386103426326,0.4140863757919559,0.8873870085459452,0.8537858704144852,0.5266287768045115,1.0230895187453868,0.6960082696899224,0.590227936194926,0.6031082306743817,0.6250991243315521,0.4313815491135632,0.5468439725382932,1.0573955502934187,0.6463102136908423,0.4066931984259042,0.4174893331783563,0.583926869212139,0.45060221825461544,0.6178507345387364,0.579129389807236,0.5366787518975139,0.7372964238397028,0.5623610319623331,0.7661199380939131,0.720381869422029,0.35018856293055106,0.6062582228214238,0.4715854504148964,0.7550670993035111,0.6587049468050951,0.510877283410577,0.521697960466201,0.5259285325651761,0.5193070653542257,0.7326076896862211,0.4069184204621064,0.4199663850908584
2023-03-17 00:00:00+01:00,0.2652591559593554,0.6782967904101735,0.7343141807563176,0.5254739357574542,0.7974679057974696,0.7748821168363224,0.40924521598854047,0.5947183797004779,0.4898513100095369,0.5308985674981634,0.48998797614526846,0.44221195788673445,0.6612397592098056,0.4140863757919559,0.8873870085459452,0.7575636224246411,0.5266287768045115,1.0230895187453868,0.6674405334646609,0.5295109054510116,0.6031082306743817,0.6152008370141321,0.4313815491135632,0.5468439725382932,1.0573955502934187,0.6463102136908423,0.39672345132568065,0.4174893331783563,0.4672481365029206,0.45060221825461544,0.6178507345387364,0.5469533725633753,0.5266482254898786,0.6890297367937841,0.5623610319623331,0.7661199380939131,0.720381869422029,0.35018856293055106,0.6062582228214238,0.4715854504148964,0.7652955851575485,0.6171184915489855,0.510877283410577,0.4851138945390058,0.49659258728883876,0.5193070653542257,0.7326076896862211,0.32955417480332794,0.41683578106942104
2023-03-20 00:00:00+01:00,0.2652591559593554,0.6782967904101735,0.7343141807563176,0.5254739357574542,0.7174238811318374,0.7748821168363224,0.40924521598854047,0.5947183797004779,0.4898513100095369,0.5308985674981634,0.40515465283520435,0.398787872625622,0.6612397592098056,0.4140863757919559,0.8873870085459452,0.7575636224246411,0.5266287768045115,1.030516614464435,0.6674405334646609,0.5295109054510116,0.6031082306743817,0.6152008370141321,0.4356950342329762,0.5468439725382932,1.0573955502934187,0.5731794562365506,0.39672345132568065,0.4174893331783563,0.4672481365029206,0.45060221825461544,0.6178507345387364,0.5469533725633753,0.5266482254898786,0.6890297367937841,0.5605599145406874,0.6335151997529762,0.720381869422029,0.35018856293055106,0.6062582228214238,0.4715854504148964,0.7652955851575485,0.6171184915489855,0.510877283410577,0.4851138945390058,0.49659258728883876,0.5193070653542257,0.7326076896862211,0.32955417480332794,0.41683578106942104
2023-03-21 00:00:00+01:00,0.266975756795566,0.6845956259645696,0.7134960562837869,0.5206738373161052,0.7174238811318374,0.7651449815614979,0.40924521598854047,0.5697133582422935,0.4898513100095369,0.5308985674981634,0.40515465283520435,0.398787872625622,0.6612397592098056,0.4185611229107583,0.8892680574552098,0.7575636224246411,0.5286177003195601,1.030516614464435,0.6674405334646609,0.5295109054510116,0.600501238751154,0.6152008370141321,0.4356950342329762,0.5217597175907842,1.0252488872809262,0.5731794562365506,0.39672345132568065,0.41618316444248143,0.4672481365029206,0.4534331807202151,0.6023282296786825,0.5469533725633753,0.5266482254898786,0.6890297367937841,0.5605599145406874,0.6335151997529762,0.704278261008658,0.3573099181855147,0.5922039140010824,0.4741484339061198,0.7652955851575485,0.6171184915489855,0.5074510750643023,0.4851138945390058,0.49659258728883876,0.5294997219399049,0.723601732839562,0.32955417480332794,0.41683578106942104
2023-03-22 00:00:00+01:00,0.266975756795566,0.6845956259645696,0.7134960562837869,0.5206738373161052,0.7174238811318374,0.7651449815614979,0.4173373385727453,0.5697133582422935,0.49686025627608166,0.5382002809483285,0.40515465283520435,0.398787872625622,0.6655691390931138,0.4185611229107583,0.8892680574552098,0.7295077786840513,0.5286177003195601,1.030516614464435,0.6721425474400486,0.5333830575039004,0.600501238751154,0.5990845345840728,0.4356950342329762,0.5217597175907842,1.0252488872809262,0.5731794562365506,0.4053178323832653,0.41618316444248143,0.46009965276881987,0.4534331807202151,0.6023282296786825,0.548453062205615,0.5311550194724457,0.6297553083259708,0.5605599145406874,0.6335151997529762,0.704278261008658,0.3573099181855147,0.5922039140010824,0.4741484339061198,0.7800095872572254,0.6264311618328544,0.5074510750643023,0.4808708657004418,0.505701463306455,0.5294997219399049,0.723601732839562,0.3291533406753071,0.4132355919204918
2023-03-23 00:00:00+01:00,0.266975756795566,0.6845956259645696,0.7134960562837869,0.5206738373161052,0.7020686581243157,0.7651449815614979,0.4173373385727453,0.5697133582422935,0.49686025627608166,0.5382002809483285,0.3928287115632772,0.39269884120258025,0.6655691390931138,0.4185611229107583,0.8892680574552098,0.7295077786840513,0.5286177003195601,1.0136681354568062,0.6721425474400486,0.5333830575039004,0.600501238751154,0.5990845345840728,0.4089838322399033,0.5217597175907842,1.0252488872809262,0.5797097629483677,0.4053178323832653,0.41618316444248143,0.46009965276881987,0.4534331807202151,0.6023282296786825,0.548453062205615,0.5311550194724457,0.6297553083259708,0.5526586535807962,0.5322133791141109,0.704278261008658,0.3573099181855147,0.5922039140010824,0.4741484339061198,0.7800095872572254,0.6264311618328544,0.5074510750643023,0.4808708657004418,0.505701463306455,0.5294997219399049,0.723601732839562,0.3291533406753071,0.4132355919204918
2023-03-24 00:00:00+01:00,0.27261263038010597,0.6990863102856337,0.7292641499820822,0.524126771803951,0.7020686581243157,0.7743640663615756,0.4173373385727453,0.5530367432761444,0.49686025627608166,0.5382002809483285,0.3928287115632772,0.39269884120258025,0.6655691390931138,0.4139197925844609,0.8934987572044704,0.7295077786840513,0.5187742875265584,1.0136681354568062,0.6721425474400486,0.5333830575039004,0.6149407466408361,0.5990845345840728,0.4089838322399033,0.5309920866955734,1.0458188090151666,0.5797097629483677,0.4053178323832653,0.3985768422390209,0.46009965276881987,0.4599375556887054,0.6073699956601204,0.548453062205615,0.5311550194724457,0.6297553083259708,0.5526586535807962,0.5322133791141109,0.7077991897367326,0.34677058437721126,0.5922445705970264,0.4781807902846708,0.7800095872572254,0.6264311618328544,0.5186472078319811,0.4808708657004418,0.505701463306455,0.529237728228315,0.7039626527316373,0.3291533406753071,0.4132355919204918
2023-03-27 00:00:00+02:00,0.27261263038010597,0.6990863102856337,0.7292641499820822,0.524126771803951,0.7020686581243157,0.7743640663615756,0.41583319399760194,0.5530367432761444,0.5071842961187266,0.5469199529538383,0.3928287115632772,0.39269884120258025,0.6756767186028269,0.4139197925844609,0.8934987572044704,0.7466537362937313,0.5187742875265584,1.0136681354568062,0.6813435641925721,0.5398326937087718,0.6149407466408361,0.6114842443442148,0.4089838322399033,0.5309920866955734,1.0458188090151666,0.5797097629483677,0.3963250628018186,0.3985768422390209,0.4595553293824694,0.4599375556887054,0.6073699956601204,0.5587192128701399,0.5387812588419072,0.6432991970703945,0.5526586535807962,0.5322133791141109,0.7077991897367326,0.34677058437721126,0.5922445705970264,0.4781807902846708,0.6857012610175051,0.6396386848459279,0.5186472078319811,0.47930942221232536,0.5133993564360764,0.529237728228315,0.7039626527316373,0.3210631907164498,0.4150818180948554
2023-03-28 00:00:00+02:00,0.27261263038010597,0.6990863102856337,0.7292641499820822,0.524126771803951,0.7159274723773694,0.7743640663615756,0.41583319399760194,0.5530367432761444,0.5071842961187266,0.5469199529538383,0.3848801841926119,0.39214698519844554,0.6756767186028269,0.4139197925844609,0.8934987572044704,0.7466537362937313,0.5187742875265584,1.0328138880671578,0.6813435641925721,0.5398326937087718,0.6149407466408361,0.6114842443442148,0.40678427717073645,0.5309920866955734,1.0458188090151666,0.580443703768412,0.3963250628018186,0.3985768422390209,0.4595553293824694,0.4599375556887054,0.6073699956601204,0.5587192128701399,0.5387812588419072,0.6432991970703945,0.5614449943970081,0.5171310190950174,0.7077991897367326,0.34677058437721126,0.5922445705970264,0.4781807902846708,0.6857012610175051,0.6396386848459279,0.5186472078319811,0.47930942221232536,0.5133993564360764,0.529237728228315,0.7039626527316373,0.3210631907164498,0.4150818180948554
