Date,ADYEN.AS,ADYEN.AS_Vol,AD.AS,AD.AS_Vol,AI.PA,AI.PA_Vol,AIR.PA,AIR.PA_Vol,ALV.DE,ALV.DE_Vol,ABI.BR,ABI.BR_Vol,ASML.AS,ASML.AS_Vol,CS.PA,CS.PA_Vol,BAS.DE,BAS.DE_Vol,BAYN.DE,BAYN.DE_Vol,BBVA.MC,BBVA.MC_Vol,SAN.MC,SAN.MC_Vol,BMW.DE,BMW.DE_Vol,BNP.PA,BNP.PA_Vol,BN.PA,BN.PA_Vol,DB1.DE,DB1.DE_Vol,DHL.DE,DHL.DE_Vol,DTE.DE,DTE.DE_Vol,ENEL.MI,ENEL.MI_Vol,ENI.MI,ENI.MI_Vol,EL.PA,EL.PA_Vol,RACE.MI,RACE.MI_Vol,FLTR.L,FLTR.L_Vol,RMS.PA,RMS.PA_Vol,IBE.MC,IBE.MC_Vol,ITX.MC,ITX.MC_Vol,IFX.DE,IFX.DE_Vol,INGA.AS,INGA.AS_Vol,ISP.MI,ISP.MI_Vol,KER.PA,KER.PA_Vol,OR.PA,OR.PA_Vol,MC.PA,MC.PA_Vol,MBG.DE,MBG.DE_Vol,MUV2.DE,MUV2.DE_Vol,NOKIA.HE,NOKIA.HE_Vol,NDA-FI.HE,NDA-FI.HE_Vol,RI.PA,RI.PA_Vol,PRX.AS,PRX.AS_Vol,SAF.PA,SAF.PA_Vol,SGO.PA,SGO.PA_Vol,SAN.PA,SAN.PA_Vol,SAP.DE,SAP.DE_Vol,SU.PA,SU.PA_Vol,SIE.DE,SIE.DE_Vol,STLAM.MI,STLAM.MI_Vol,TTE.PA,TTE.PA_Vol,DG.PA,DG.PA_Vol,UCG.MI,UCG.MI_Vol,VOW.DE,VOW.DE_Vol
2022-03-16 00:00:00+01:00,2.3791404451907443,0.7080117413759713,1.3882180241668352,0.2561785328851611,1.245891833611977,0.26922686888843966,0.8153680448961117,0.50600577520309,1.0890314066285058,0.3392752026910793,0.7390942790223031,0.3027439245081369,2.151367139406267,0.5150055939227016,1.1373297816933223,0.39496163946820484,0.9242673614611262,0.424227237584232,0.8537344583670605,0.32194473367267523,1.1462487763448226,0.4439537284874355,0.8759102725284921,0.422104286820108,1.1725907626811765,0.41657503903061355,1.1865312385359452,0.5654449490510965,0.7765498385644198,0.28980758765914416,1.1719962004016617,0.26413390709492374,1.2574754345160408,0.4162355007005195,1.1965726302127133,0.2639359115304508,0.9185822377163636,0.3835606091440084,1.0717248195429898,0.3213167212811099,1.2120845936598719,0.3637397059610813,1.2079248718019187,0.3497582079125533,1.1303036034259326,0.3700816147885481,1.7401879135076344,0.3847930833070624,1.1883598686284556,0.3469756689760028,0.7227633255025245,0.4256385287247793,1.4849394606614337,0.4928198560103023,1.01289159703969,0.5899652389510022,0.9071235732390873,0.5319111962673887,1.0372178230452367,0.44503995564921917,1.3730545632715168,0.32931634587214104,1.4928926212896785,0.4135910581520408,1.647076310998744,0.43987556046602383,1.0148939319654173,0.40720174975598644,1.2635114016147309,0.4137664230017991,1.228949884276109,0.3330933890945408,1.1594964325818498,0.257839753039966,0.7585245671447479,0.6718602532047353,0.7771260737457072,0.44973559133520985,1.594704086778239,0.4269187980723678,1.1468947949456185,0.2717333694109809,0.8962220872535888,0.2919062991735687,1.7217867061650636,0.43241682944692694,1.3869266740372814,0.46171364905189677,1.3209064001107922,0.5627391823718924,1.1024744440655985,0.3333867717343367,0.9999436411167267,0.3403810457943267,0.7295126786228023,0.7082543613725444,1.3191931433964652,0.6084500788915223
2022-03-17 00:00:00+01:00,2.486723391102032,0.70850730759807,1.3646687583092825,0.2565555081425802,1.2590152925937308,0.26780900094399507,0.8212196151113749,0.5020565567172279,1.097928834630864,0.3368223408427551,0.7465543696696435,0.30092319381094995,2.2816006587523523,0.5258252506163525,1.1280563176908804,0.39211164675385657,0.923104094294101,0.4207357372957932,0.8522392972899439,0.31939633774456033,1.1710207488034785,0.4424485838745279,0.9089365344873386,0.42540236722408553,1.199811089184015,0.4161750092287932,1.2224187162607993,0.564265364950071,0.7669790032519861,0.28844306259379954,1.1921131642659444,0.2639657004537881,1.314626668146813,0.4242426221437159,1.194159629775571,0.26181309334383074,0.9259282980340378,0.380950817457931,1.0503461577097304,0.32148778048770826,1.2375877748363286,0.3633412004935311,1.199744777825496,0.3470262147610183,1.0407746051347697,0.398744409342844,1.8330482765629899,0.397600532343972,1.1599633677225067,0.347667394943649,0.7106077131750358,0.423075813547005,1.5762226344587202,0.5055315911135856,1.055885497374439,0.5922763203680417,0.9039035444877758,0.5275386299578109,1.061096924163372,0.4441748163192116,1.414987374748131,0.33272685311080474,1.5723097139511477,0.42474577742228387,1.6852375880597148,0.4388638893541971,1.0010364932205442,0.4047790935120702,1.2709761462243616,0.4107000084376234,1.22345275699883,0.33036197280761576,1.1662469334815866,0.2560909279756167,0.8043365223435115,0.6789186896021441,0.7897337224010733,0.44724746896934015,1.6368177847267522,0.4268146843157347,1.130252306238177,0.27136511816939685,0.9123134222246844,0.29214533479145904,1.7709872517394802,0.4326236897343793,1.4254118444928567,0.4613318513805402,1.3063284957064671,0.5584032545239371,1.0911126755108669,0.33138206863400266,0.9958775085935734,0.3376993753320533,0.7278092959256071,0.7024262662097575,1.3653102566550657,0.6079843814383207
2022-03-18 00:00:00+01:00,2.4609910485666417,0.7029482169174135,1.3563432003801206,0.2547783201244039,1.2683178892441034,0.2659710642900515,0.822297485003296,0.4979308273421609,1.0798799330223685,0.3358718741436242,0.739785047743139,0.2990521785653959,2.289329619924078,0.5215468676746738,1.1258483985530163,0.3889148884495367,0.9011690140732129,0.4196875513517207,0.8606121965485021,0.3171467002085657,1.1523332423302095,0.440061449411052,0.9017570209840862,0.4222823419352674,1.1523267792438658,0.4200188511475484,1.1901198884756576,0.5621448023388377,0.7711843550969512,0.28632874212443754,1.1820546429773386,0.2625464817441183,1.2443659023956477,0.43340470276447557,1.1968566049603564,0.2596834895929282,0.945251873226657,0.3806216900301929,1.0722181630929188,0.3214376660027414,1.2433222549052816,0.3604737767809597,1.2406452983826644,0.35178171359426524,1.0127967931687814,0.3982869213675137,1.8187038676911067,0.394580438444606,1.1647358472904525,0.34489775922636,0.6941813071328778,0.4215419893185055,1.5182488009247335,0.5064973482921089,1.0193567039332825,0.5910525217883709,0.9568036576006553,0.5375131477632128,1.068278653623434,0.44081133423953434,1.3993845331200472,0.3306978215135096,1.5658970823424416,0.4213162303951921,1.6358072764837353,0.4392690790149214,0.9745629083618199,0.4049118288860742,1.3203938505345154,0.41572337602673115,1.291496550802213,0.34860484819583215,1.2090009810510953,0.2651166975545578,0.7840590641206063,0.6748516660416866,0.7841629646373959,0.443810610548526,1.6356947508405064,0.4233056519833254,1.1370057099207769,0.26932467944176575,0.9077659389378214,0.2898476887061801,1.7611011056371948,0.42926309935699053,1.422483734876073,0.45756392062391643,1.3858443136167453,0.5683325573856615,1.0950594471610573,0.32871707421943624,0.9958775896508358,0.3349202656447316,0.772716721975901,0.7088855429046079,1.3349701378543575,0.6044957125179141
2022-03-21 00:00:00+01:00,2.5291542712497326,0.6995500008878967,1.3387405563026213,0.2540942472668982,1.2626697812276684,0.26398057696693955,0.8132122305557322,0.49434253085442564,1.0773377572305467,0.33315863969129655,0.749869797393495,0.29783828714832783,2.3496156858097152,0.52001736638852,1.1251858926827287,0.385719049015626,0.8993410792179619,0.41623305483429646,0.8656956827320695,0.31462142920417585,1.1453796501176803,0.4366203154915293,0.9046288417049866,0.41883372952463305,1.1529316885433012,0.41658746357055704,1.1934844287592656,0.5575599576211001,0.774374721911136,0.2841232594106425,1.1936032967968657,0.2609597993895413,1.2903225739093604,0.4373447135011131,1.1809589530723796,0.25905099396384457,0.9305596544416403,0.3785501073253776,1.0467282157514435,0.32271589131627854,1.2602239807201348,0.3585560330149003,1.2815456120430415,0.3557051767914736,0.919238989954516,0.43373585720367375,1.8307834394983578,0.3916353869058218,1.163304040696074,0.34207177083514884,0.6954954463406778,0.41821172460502426,1.5424045486718831,0.503613286939362,1.0287313561861684,0.5866836288865305,0.9938338469084141,0.5392203168403663,1.0754602454057718,0.43746486199607365,1.406015808383576,0.328147468069998,1.573542768443064,0.4179870038259234,1.614037478784033,0.4364206483227773,0.9658761705021839,0.40191765031046817,1.3311437692144326,0.412765999004317,1.358946438262811,0.362887534928145,1.2218591450762013,0.26386134519065213,0.776699198093137,0.6694137927915975,0.7771260620359103,0.44054091209193075,1.614918481847175,0.4206366031858415,1.1253076616351287,0.26808664892235573,0.8876516747763996,0.2905884093815661,1.7266148616714745,0.42772262375126896,1.4180914438456231,0.4538546358023984,1.4297671182402454,0.5675658872152948,1.0926673475565147,0.32605652088905657,0.9846421693992699,0.33299045624104134,0.8030678744734907,0.7080067240688868,1.34103814061986,0.5996421182341638
2022-03-22 00:00:00+01:00,2.4623597866359224,0.6957921532929323,1.3425465733389408,0.2520672846186086,1.2541977313547847,0.2622168250378695,0.8113642627307792,0.49029252776389776,1.0821678743652312,0.33051520368716275,0.7556721540692394,0.2957600295057956,2.3766672451483157,0.5162346143215736,1.122094775231587,0.3825973187424467,0.9051571887239579,0.4131557764926359,0.8807967541260736,0.31352437143083334,1.1577656742072493,0.4335715755127311,0.9037672608852416,0.4154024216352311,1.1848400556042995,0.41742498320040816,1.1964001239006483,0.5530028666395336,0.7542176955265908,0.2865323752672136,1.2021716443595782,0.2590795225062608,1.2867874619479596,0.43374584108973635,1.177694391781629,0.2569919013389134,0.9198598562992674,0.3759493816372429,1.084552062964357,0.3280404483237122,1.2487550234654223,0.35611066017484705,1.2883622542578448,0.3529886130424666,0.8534351762105112,0.4505917123476232,1.8119093444345886,0.38888438476472165,1.1659290090194074,0.33928120332291617,0.6912246945659721,0.41480761006143035,1.5347764700344875,0.4995149321703566,1.0235590216064927,0.58187653335288,0.9558838228241691,0.5401387698448747,1.0614559995998814,0.4345563479805906,1.3870971939930643,0.32651457529702543,1.556524820855607,0.41508736830648485,1.63350221330127,0.43360302297460096,0.9745628556089816,0.39911183459933014,1.3317406764806448,0.4093849952451713,1.3608776202224735,0.35994403638849215,1.2154299647265299,0.26189780555186376,0.789766756995424,0.6651529929209472,0.7607069338834989,0.43899416782424594,1.603407659713119,0.41742491608955185,1.125910604549404,0.265880641986897,0.8880014612515913,0.28822202895065224,1.7231661769008273,0.42423103298085013,1.3886000331718757,0.4521609231148646,1.394363673132729,0.5650100645760279,1.1164185879659956,0.32623000337031755,0.9924534226065391,0.3306285455031112,0.75730883417739,0.7111492104785451,1.3628830448295173,0.5957755818388413
2022-03-23 00:00:00+01:00,2.553244027852615,0.6942721338038823,1.340643565546417,0.2500106208250002,1.270809664979781,0.26135404416615293,0.8344625592943054,0.48970080023732,1.094878296336557,0.3285763583205745,0.7515276397765793,0.2935772246216742,2.434635268097596,0.514263952502937,1.1516816332712383,0.38308458432004805,0.9123028391728739,0.4102227889402578,0.8824414790645412,0.3109471734121169,1.1638501056356763,0.43012199754446534,0.915685317501997,0.41274167062221573,1.214933510712984,0.417488770926415,1.2022318622617671,0.548557349821569,0.7576981085778587,0.28438434140716645,1.2196806904601212,0.25831333675514967,1.3423184836044804,0.43989843090671443,1.1874884708760018,0.25540338832238485,0.9091600992693052,0.37337089305907156,1.05001735131253,0.33214007613705043,1.281350879672445,0.3570741222648684,1.2985874071383725,0.3505108176192932,0.9002140778176438,0.46374912450719585,1.8609817577171934,0.3898491213265735,1.1699856155676631,0.33655195901824303,0.6954954569868719,0.41185008434178944,1.576476826400353,0.4988184283452661,1.0538381542505888,0.5807447534228705,0.9554237658061941,0.5356954043158901,1.0709717406384465,0.4314613510084795,1.4237641018817653,0.3284293751443833,1.5888342483134412,0.4139180025306172,1.6575770682066748,0.4311429916228386,0.9979341209988488,0.39897603628419775,1.3629438361595743,0.4091001038668882,1.415104616852435,0.3665688404750145,1.2167158316871907,0.25975427596456313,0.8029846825511824,0.6608836300340407,0.7677436949230168,0.4358178431182367,1.6342907996077167,0.41583983560263726,1.1316994649324557,0.26383661805023384,0.8934235581061168,0.28626066103935527,1.7381102444424,0.42107081678904834,1.3917374872603017,0.4484611595216671,1.3867907720856794,0.5604303508091113,1.1067107736659452,0.3241154827174685,0.9979106058642659,0.32807962054546036,0.7489468289546275,0.7055191166973949,1.376232791451327,0.5912790717950925
2022-03-24 00:00:00+01:00,2.4845332765253554,0.6906813268988724,1.3404057459660867,0.24795314152241182,1.2844314631737694,0.2600083572804185,0.8256851854140327,0.48616322030970877,1.0808968221293545,0.32701705677093107,0.7375746351178544,0.2936865489518091,2.365460627597531,0.5134693193390226,1.1395378635353568,0.3806222498077501,0.8827235366364565,0.4115957090860328,0.8851327418321093,0.3083891384412579,1.1429894874569806,0.4281795995758847,0.8984543105209167,0.4113119498185433,1.184235015651294,0.4170009483410208,1.1717276035510524,0.5463903167154792,0.750012330015554,0.2826904545757303,1.1898780172509174,0.26158081196593086,1.379142709113995,0.44020130299976856,1.1805332142549592,0.25361246051356173,0.9375862788543566,0.37640579442163097,1.0845518644691805,0.33580961055234665,1.2656565694895487,0.3550807668746082,1.2771147433628462,0.34914256255048054,0.9167769425015089,0.46244951048253347,1.8179488839518803,0.38933452242196,1.1377711626923364,0.3385049860329858,0.6918816172720473,0.40847914729284546,1.5350306873091384,0.4973244789830103,1.0367051795726825,0.5766831476293258,0.95749372396563,0.5313322969747463,1.0487084991550697,0.42979159235030534,1.3726644967677568,0.3336469197568363,1.5612111001085887,0.41198704842729095,1.622489326883419,0.42967990049668375,0.9877997199158788,0.3961915609525698,1.383845923033528,0.4070674677384096,1.4403613281030578,0.3654693826150475,1.2112510545578918,0.2577649261806168,0.7432039092770616,0.6713629538877021,0.762759342902613,0.4324162344961108,1.5947040925460816,0.4153738108590138,1.1301316035888662,0.26170577627843516,0.8860774624146034,0.2842454516849625,1.7369607580792314,0.4176121142660578,1.3708216003122706,0.4458224053777064,1.383572310100322,0.5558228505883395,1.1261265601678572,0.32326219576906795,0.9858191491358235,0.3263529845675165,0.7510373280222704,0.6997911103400639,1.337397335469132,0.5890196567929717
2022-03-25 00:00:00+01:00,2.5050643475645655,0.6852317453242528,1.3620520252277677,0.24806393555020925,1.3153295528172715,0.26213672628909734,0.8298428961107909,0.4822641558339397,1.0783547018196433,0.324377306283265,0.7393706426637817,0.29130718484147383,2.3998543214643187,0.5100451447278878,1.1393169228012874,0.37749263692422236,0.8747471411769218,0.40844727235394934,0.8960473783243954,0.30648549852266105,1.110394459869514,0.4285702471085034,0.8830900212817873,0.40951619591346383,1.1795471602085794,0.4136058359749557,1.146830699652437,0.5434737648266125,0.7491422517497464,0.2803642441604462,1.1835448931254737,0.25976794105737366,1.3685374251254123,0.43678398107885724,1.1933078604474847,0.2524339652694556,0.9310386956681214,0.3734695244603844,1.071231461588927,0.33415779083660785,1.2602239104875175,0.3522826543051011,1.31699260739465,0.352261729934886,0.9783281288266834,0.48133891734761464,1.8187039559286788,0.38613908419459175,1.1365779680124133,0.33572357660067764,0.6823543609391188,0.40567332694207114,1.5612206620413294,0.49466855501462575,1.0177405547023155,0.5728549883321356,0.9722139229489352,0.5280311678645973,1.0384745356687446,0.42660032974192225,1.367203543565849,0.33096416258380607,1.548632574830687,0.4088855698581249,1.6217209171687763,0.42614321587352166,0.9846973864946674,0.3929670380457557,1.4148999535113518,0.40641790550507234,1.5106336196990493,0.3758460577660945,1.2067506755862125,0.2557401623351957,0.7302113164360684,0.6664101039007845,0.7680369483896239,0.4291082340098708,1.5663475379249805,0.4134922714791489,1.1265136688618616,0.259681887838362,0.8761077920744876,0.28260191277113195,1.7383402873720708,0.4141749962599287,1.3614094113531559,0.4423616401628795,1.4185970769133849,0.5538380533456344,1.1285535412316423,0.3206110424473495,0.9819670629978543,0.3237696103097432,0.7652063939876427,0.6953556112877978,1.3592422719183037,0.5852630344201697
2022-03-28 00:00:00+02:00,2.4995893952874426,0.6796003700766632,1.364906496441519,0.24604870611726024,1.3196486104362322,0.2600144630266444,0.8247612655254417,0.4784658375837795,1.088523072987448,0.3222180736569686,0.7364695084975814,0.2890269082302169,2.392511563079551,0.5059024246862269,1.1402001929932868,0.3743856218746675,0.8797324360006292,0.40540396006024104,0.9211660692035014,0.3082407702278655,1.1125675936924693,0.4250701381490906,0.882946535946395,0.4061470725705339,1.181059377107458,0.41023360850114504,1.1295597463907505,0.539738410558741,0.7388462859266571,0.27927673036931144,1.2137202015333608,0.26230628016145113,1.3570482032628526,0.43343548305498114,1.2031019484265038,0.25085183274121065,0.9246508169596287,0.3705462389815129,1.0921164574630615,0.3335257009924353,1.2443787161727609,0.3503474793516961,1.2975648412452494,0.3505993362098214,0.9648987790830089,0.47779677146998556,1.8466375388795502,0.3843696019705013,1.14039596142819,0.33303668519123064,0.687282315422539,0.4029135750748869,1.6008866557346348,0.49355561404790477,1.0170939627430453,0.5681527189971667,0.9430038103791155,0.5269816455226137,1.0463743389367435,0.42348211467444785,1.375785146657813,0.3285547257288037,1.5491256800328803,0.40552402050281133,1.623513722264705,0.42264995406493255,0.9906952716905858,0.38996311418152024,1.4489398904568676,0.40607473947231554,1.5228161047162088,0.37306810468944784,1.2083579606690686,0.25365646444463735,0.7311877447071486,0.6610148068382036,0.7702359758194834,0.4256217960871164,1.5475367568025697,0.41075328933306055,1.1234986500155577,0.257640237120742,0.8808303031919065,0.2806346586171002,1.7068425651678556,0.41249819472918847,1.3427943367004007,0.43955974133629155,1.3784606376257675,0.5521154537938098,1.1420237362848558,0.3187495496650491,0.9850700338284158,0.32116595264749176,0.7423655497193391,0.6919356436531255,1.3361836312813593,0.5813413274293284
2022-03-29 00:00:00+02:00,2.480974590961682,0.6741533636572944,1.3713291361598945,0.2441836408816019,1.3291174275403392,0.2581579555966161,0.8438558341765624,0.4768168009781966,1.1047923623284965,0.32087948793632065,0.7609217803141206,0.29438420343483185,2.442364052976235,0.5034104215935801,1.1598511547730945,0.3728305160290636,0.8890382700937357,0.4028865401007975,0.9162320132843769,0.3061899059250944,1.1364705133973305,0.4238912188929391,0.9011825502662637,0.4048836701396756,1.207221088225032,0.40959754632976825,1.1661201877450174,0.5396289615741583,0.7424715902101977,0.2772422258008877,1.2308567592662687,0.261391301256166,1.3521873879193755,0.42989283558929847,1.233477594193367,0.2537611946181524,0.9214568598412708,0.36751288124472453,1.0894853546533427,0.33086372710370326,1.2564512386022026,0.3480125155219514,1.3190376504946186,0.3494124133293974,1.01078239070723,0.48521691182799076,1.8972198590255231,0.38539912620917766,1.171655959599275,0.33496060331683053,0.6807116037582341,0.39979968427189955,1.6143631186091898,0.48984964591158636,1.0223739008531876,0.5636914247345868,0.9338036198311611,0.5229145469337136,1.062892287216442,0.4214111059119942,1.4042604459333645,0.3287191990099269,1.5969733567045055,0.4071940407062341,1.6675656731216093,0.42291120336082183,1.0060003049679316,0.38808584851486577,1.4332636305194055,0.40333936381927876,1.5011254394367728,0.3712167302824475,1.2347174845157731,0.25550875380295185,0.7335909451241798,0.6557381772923627,0.778005741895869,0.422628340108201,1.586281260283228,0.41067980298054707,1.1249458629345122,0.2555219753327258,0.8955224072454678,0.2807481224021952,1.7358112244983739,0.410504007901941,1.3724948802161128,0.43833535549232355,1.3695624764003314,0.5476767608418489,1.138625735423742,0.31623476672357487,1.0001575983074744,0.3200063013909258,0.7323774738887168,0.686602506674146,1.3713783778577762,0.5792624780603639
2022-03-30 00:00:00+02:00,2.6241445595919832,0.6789450602596981,1.3725184886743997,0.24217550268277954,1.3125056138209663,0.25755111532512154,0.8661841221054959,0.4758083683533972,1.1065718965037485,0.31824197399848364,0.7629939401801428,0.29199199372299683,2.4527976726554503,0.4993129757467795,1.1779564822551303,0.3709655981989497,0.906154291404259,0.401858396477137,0.9189232579788071,0.30366965203464885,1.1866664218158507,0.42981908418021464,0.9235828594766533,0.4045078923932989,1.235499994840401,0.40918339140159327,1.2105309106936337,0.5409431254519904,0.749577252436578,0.2757873861274093,1.2144653239377976,0.2610257197412936,1.357637311151025,0.42649221247626096,1.2224062438035217,0.2524737263568768,0.9300804385928305,0.3651811398236648,1.1001748237345246,0.328603107140543,1.2976487960848426,0.35139238245900495,1.3180150850702024,0.34653847153778483,0.962212909134274,0.4897310420111324,1.9674314657277405,0.38956055868169875,1.1816783482866415,0.33261916501383837,0.7017375550735934,0.40252982774177104,1.6527578879862845,0.4883312293011367,1.0775440197657054,0.5705660152504927,0.9361036659706297,0.5186750123326977,1.0749216153119048,0.418682956943435,1.4374165535828929,0.3296045152520824,1.6512335045795752,0.4096738728957669,1.7013726654620152,0.4214598809169313,1.0175826249011504,0.38561673822439185,1.4366976129039573,0.40005054216749186,1.5136049439930317,0.3685126095073818,1.235360223057178,0.25340707932168927,0.758824971977683,0.6549321133764555,0.8014616557997408,0.4235684524336527,1.620252993102825,0.409651498421383,1.1156597212088926,0.25407299796613647,0.9033931942924734,0.2791713320421342,1.773056478720247,0.40932813809164914,1.3911100155648273,0.4356075642168089,1.3706983254894327,0.5431846106032147,1.125277231058479,0.31469696979089945,1.0059359010730222,0.31756174498576784,0.7397329714445903,0.6814330470424025,1.444194961405321,0.5847761526035213
2022-03-31 00:00:00+02:00,2.600602331633269,0.6736207197592162,1.3853634636145447,0.24086336314212767,1.3266255675606067,0.2561829478949468,0.8597166295956327,0.4721957993948217,1.1078428777342846,0.3156229912530774,0.759954622215443,0.28974095259117694,2.3967630971716014,0.4975441623572818,1.1832558068949355,0.36797645595645556,0.8911984990941813,0.3996977827401439,0.92400682147727,0.3012128670767929,1.1612424420425396,0.4286250769773289,0.9126698361855189,0.40203386365643917,1.2294511941893576,0.4059157103752016,1.189222664642585,0.5376513096971879,0.7369611259915918,0.27543534541936016,1.234954834941867,0.26074164673280376,1.3315658593731972,0.4245419358090597,1.2232576868411633,0.2503956423342016,0.950042762122219,0.36516417806535567,1.0973788456195157,0.3259930265532711,1.2944797361830078,0.34855963166321763,1.3333528263880705,0.3445180103897639,1.0239879179551765,0.5048769440983827,1.9810207539758597,0.3865749984267704,1.1871666717727083,0.3299892068800602,0.6793976667515023,0.4035153197502,1.618685640687544,0.48606105584198595,1.0527607150778928,0.5675477884829776,0.9586437150701328,0.5170083588975729,1.0521197671669678,0.4172920385859091,1.4302001309931913,0.32705154283181187,1.6430944309974476,0.4064508533724107,1.6852374973590274,0.41845001538505455,1.0122050912979037,0.3825937298789644,1.4464018482847893,0.3969952388918294,1.5302447648503597,0.36609664698048444,1.2691133988618486,0.2572908172483473,0.749437389243124,0.6498054072602744,0.7938385852704788,0.42057022168076114,1.5719626968622389,0.41076913709508867,1.1218104002259128,0.252177900518459,0.8921992247739956,0.2778248746159309,1.7638601401288647,0.406142692497584,1.3706124869109433,0.4330662981848135,1.388116071326401,0.5394474475086324,1.1269760461893035,0.31210952113938456,1.0021908448349302,0.31506097274189704,0.7595542754980725,0.6784047972990108,1.438126921077911,0.580026543241607
2022-04-01 00:00:00+02:00,2.4976732956562766,0.6729098803575687,1.3953541337901736,0.23925967180616228,1.3236355723337463,0.2541720248366864,0.8475515902530939,0.4692811403429855,1.1058092469636396,0.31307292569539524,0.7574681168736145,0.2874619390791192,2.341887204576168,0.495731786913622,1.1746445924358777,0.36534657196809917,0.8654413062654615,0.4001858213678389,0.9262495754115728,0.29873632772798414,1.143641285596788,0.42625091891446837,0.9090801174072722,0.398845755332705,1.187259562860534,0.40834992220515215,1.1643256602042231,0.534836667819374,0.725649997628116,0.27469427913084693,1.2200532668259556,0.2601027596171691,1.3206659132778966,0.421262720963612,1.2019664462491093,0.25105081639246385,0.9714423848015192,0.3653269440083337,1.0850451680762452,0.3243008644290829,1.256300217257725,0.3510488372835818,1.370162976470481,0.34621881944070804,1.0472654575108788,0.5033754172291068,1.950822425119528,0.38472483141904235,1.187644027531178,0.3272731369693375,0.6521297139270742,0.4070843545552716,1.5772395291563932,0.4847112341106693,1.0322872873249964,0.5640076421226472,0.9890038888108258,0.5170250405206558,1.0372177966941942,0.4146996248869539,1.4239589754644464,0.32447709668347424,1.6036325567713179,0.40612889696970234,1.6393929409353496,0.418653760753537,1.0060003401552016,0.3796433709004582,1.4705878744193497,0.39516565098029033,1.5421298979740794,0.3633675547030556,1.2929012576912604,0.2578175862578832,0.7443304756386423,0.6444944856266156,0.7865085531100627,0.4175577110955042,1.521987842725155,0.41232189629033433,1.117830578052502,0.25024855584400485,0.8841535011290165,0.2759888790136313,1.7594918071186927,0.40285261200984507,1.321460337696905,0.4355493896690435,1.4558937868209831,0.544417101283436,1.115569224678699,0.3103374295056815,1.0027257052383496,0.312467808717342,0.8002805982095847,0.6821523510171731,1.3701646512719738,0.5831446158685644
2022-04-04 00:00:00+02:00,2.488092129171312,0.6674060958179495,1.3844119997722926,0.2379152080466149,1.3309446748775575,0.25223368745616903,0.8604865738930333,0.46637414043804254,1.111401773652757,0.3106141597749932,0.7603691733598676,0.2851745558241408,2.3472974916375566,0.4916699755885103,1.1832556917509494,0.36256468650308743,0.8662722694304958,0.39694485209453645,0.9718517890245721,0.3106734481201254,1.1610249810243423,0.42384997920774226,0.9169776226706762,0.39588143397642905,1.2037429612488322,0.4061174397351268,1.1591669646222247,0.5304858022512499,0.7320306066207651,0.27319794236399403,1.2286215439110493,0.25820217230038306,1.3275887566844942,0.4180276135528462,1.231916278283975,0.25384654751919067,0.9759139013359117,0.3624851632959093,1.0919520187622778,0.3218099709060256,1.2510186314049887,0.34827318574310523,1.3592562575625358,0.34379205731712204,1.03965549265613,0.49933113517732886,1.9213787430127198,0.3828278604696873,1.1895527558202739,0.32458645756902293,0.6603428621448878,0.4051110158476481,1.5594406955615665,0.48117163785897776,1.0345501676061055,0.5594325768315604,0.9807239284757167,0.513013106678487,1.0366792321465068,0.41128941157504695,1.4374165430762629,0.32238890158524985,1.61251136714708,0.4029408163538985,1.6388806428855722,0.41520779858541124,1.0051731246299638,0.3765208504033771,1.446401950447994,0.3933858305717338,1.4957768919306276,0.36574425690891604,1.2806857780348189,0.2565431706594097,0.7696396433756102,0.6436640275736344,0.7878279402833405,0.4141318819907796,1.5264799033286842,0.40900192403676355,1.1350761652218577,0.24999446626511473,0.8750583143876766,0.27431356218891684,1.7790340125583952,0.40009194505284806,1.3222969658008539,0.43197293936350295,1.441883820773776,0.5402766860442544,1.145906792550712,0.31242828893229024,1.0122489546819236,0.3104446855554024,0.7889763440261184,0.6770573516981471,1.4023255356483064,0.5804273099950373
